Tue Nov 15 20:28:46 2022    output.dat

         300715 function calls (298357 primitive calls) in 95.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1687    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1799(_str_equal)
       62    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1523(nametowidget)
      423    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\enum.py:358(__call__)
       33    0.000    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:647(recache)
      311    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       43    0.000    0.000    0.018    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:171(contains_point)
      565    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
      251    0.000    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1846(frozen)
       43    0.000    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:266(_event_mpl_coords)
       64    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:380(height)
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
       86    0.000    0.000    0.240    0.003 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:1607(getframeinfo)
      343    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\contextlib.py:102(__init__)
      4/1    0.000    0.000   30.187   30.187 c:\Users\dhruv\Desktop\ATM--main\atm.py:270(afterLogin)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
      209    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      182    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
   187/40    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       41    0.000    0.000    0.057    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1898(motion_notify_event)
    86/43    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2371(frozen)
      457    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
      720    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       41    0.000    0.000    0.059    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:273(motion_notify_event)
     2716    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:832(get_animated)
       12    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _operator.add}
      395    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(dot)
      680    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_api\__init__.py:101(check_in_list)
      115    0.000    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1122(get_points)
       71    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1996(rotate)
        1    0.000    0.000    0.002    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\legend.py:716(_init_legend_box)
      162    0.000    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        4    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      174    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
      122    0.000    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1480(transform)
       14    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
  343/325    0.000    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\contextlib.py:139(__exit__)
     1556    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1640    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1715(isEnabledFor)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:1879(scale_range)
       97    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:822(from_extents)
      128    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2044(translate)
       25    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\pathlib.py:56(parse_parts)
       47    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1542(_register)
       18    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:1016(iget)
       11    0.000    0.000    0.010    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:57(__init__)
    112/2    0.000    0.000    0.091    0.046 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
      133    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:162(update)
      423    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\enum.py:670(__new__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       62    0.000    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:842(get_bbox)
      266    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:170(invalidate)
  744/672    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      293    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     1884    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      244    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\colors.py:152(to_rgba)
      165    0.000    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1862(transform_affine)
       91    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2462(__init__)
      725    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
      327    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:81(_stale_axes_callback)
     44/5    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
       64    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:739(_convert_units)
       41    0.000    0.000    0.006    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3032(_mouse_event_to_message)
     1211    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     2185    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1599    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1160(score_style)
     1599    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1224(score_size)
      101    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:826(set_weight)
      534    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:405(pchanged)
        8    0.000    0.000    0.025    0.003 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\subprocess.py:1349(_execute_child)
     1427    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:266(axes)
       64    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2586(__init__)
     1817    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:746(get_variant)
       62    0.000    0.000    0.028    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
       76    0.000    0.000    0.013    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:276(get_transform)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       43    0.000    0.000    0.019    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1968(inaxes)
       15    0.000    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:954(__getitem__)
       43    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:129(_process_radius)
       40    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:506(anchored)
       58    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:735(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       73    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\markers.py:295(_set_marker)
      977    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1940(get_matrix)
       10    0.000    0.000    0.070    0.007 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tokenize.py:390(open)
      165    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2602(get_matrix)
      140    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:872(get_siblings)
       28    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\generic.py:5517(__finalize__)
      319    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\re.py:187(match)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       14    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:1023(_is_scalar_access)
     1817    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:727(get_family)
        8    0.000    0.000    0.025    0.003 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\subprocess.py:753(__init__)
